Test,Size,Comparisons,Swaps,Time(ms)
1,10,45,22,0
2,10,45,20,0
3,10,45,14,0
4,10,45,21,0
5,10,45,21,0
6,10,45,26,0
7,10,45,21,0
8,10,45,27,0
9,10,45,26,0
10,10,45,29,0
1,100,4950,2647,0
2,100,4950,2423,0
3,100,4950,2550,0
4,100,4950,2544,0
5,100,4950,2524,0
6,100,4950,2481,0
7,100,4950,2638,0
8,100,4950,2489,0
9,100,4950,2457,0
10,100,4950,2000,0
1,1000,499500,250430,1
2,1000,499500,243732,0
3,1000,499500,250467,1
4,1000,499500,246016,2
5,1000,499500,247370,1
6,1000,499500,261367,1
7,1000,499500,241218,1
8,1000,499500,259388,2
9,1000,499500,242182,1
10,1000,499500,257847,1
1,2000,1999000,987825,4
2,2000,1999000,997273,4
3,2000,1999000,987561,3
4,2000,1999000,1003559,4
5,2000,1999000,981272,4
6,2000,1999000,992425,4
7,2000,1999000,1004603,3
8,2000,1999000,1027430,4
9,2000,1999000,1014496,4
10,2000,1999000,1008196,4
1,5000,12497500,6230571,23
2,5000,12497500,6115740,24
3,5000,12497500,6348563,23
4,5000,12497500,6244681,23
5,5000,12497500,6266731,23
6,5000,12497500,6171719,22
7,5000,12497500,6299014,24
8,5000,12497500,6204148,23
9,5000,12497500,6214706,23
10,5000,12497500,6250948,24
1,10000,49995000,25330638,99
2,10000,49995000,24958470,100
3,10000,49995000,24676037,98
4,10000,49995000,24856339,102
5,10000,49995000,25121629,98
6,10000,49995000,24953463,100
7,10000,49995000,24750454,100
8,10000,49995000,24999734,99
9,10000,49995000,25127043,100
10,10000,49995000,24902281,99
